"","Event.Name","Start.Date.Time","End.Date.Time","Event.Type","Event.Borough","Event.Location"
"1","Miscellaneous","05/05/2022 09:00:00 AM","05/05/2022 04:00:00 PM","Special Event","Bronx","Pelham Bay Park and Orchard Beach: Bruckner Picnic Area-Jarvis-01 ,Pelham Bay Park and Orchard Beach: Bruckner Picnic Area-Jarvis-02   ,Pelham Bay Park: Softball-04"
"2","Deb's Birthday Party","06/11/2022 03:00:00 PM","06/11/2022 07:00:00 PM","Special Event","Brooklyn","Prospect Park: CONCERT GROVE PAVILION"
"3","Scandinavian Music Festival","06/05/2022 02:00:00 PM","06/05/2022 03:30:00 PM","Special Event","Manhattan","Fort Tryon Park: Billings Lawn"
"4","Celebration","03/08/2022 12:00:00 PM","03/08/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"5","Soccer - Non Regulation","03/12/2022 09:00:00 AM","03/12/2022 05:00:00 PM","Sport - Youth","Brooklyn","South Oxford Park: Lawn"
"6","Miscellaneous","05/23/2022 09:00:00 AM","05/23/2022 02:00:00 PM","Special Event","Brooklyn","Canarsie Park: Baseball-01 ,Canarsie Park: Softball-02 ,Canarsie Park: Softball-03 ,Canarsie Park: Softball-04 ,Canarsie Park: Softball-05"
"7","Celebration","10/28/2022 01:00:00 PM","10/28/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Dene Lawn"
"8","Balters Baby Shower","05/07/2022 11:00:00 AM","05/07/2022 07:00:00 PM","Special Event","Brooklyn","Prospect Park: CONCERT GROVE PAVILION"
"9","Puerto Rican Day parade 2022","06/12/2022 12:00:00 AM","06/12/2022 10:00:00 PM","Special Event","Manhattan","Central Park: East Drive   ,Central Park: Hans Christian Anderson Statue ,Central Park: Dene Lawn ,Central Park: Johnson Playground Lawns ,Central Park: Pilgrim Hill ,Central Park: Cedar Hill ,Central Park: Lawn Behind the Met Museum ,Central Park: Lawn North of Levin Playground ,Central Park: Lawn Outside Levin Playground (Section A) ,Central Park: Lawn Outside Levin Playground (Section B) ,Central Park: Kerbs Boathouse ,Central Park: Arsenal ,Central Park: Arsenal Plaza ,Central Park: Grand Ar"
"10","Permitted Film Event","02/11/2022 01:00:00 AM","02/20/2022 11:59:00 PM","Theater Load in and Load Outs","Manhattan","155 WEST   62 STREET, WEST   62 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   60 STREET and WEST   62 STREET"
"11","Soccer -Regulation","03/12/2022 08:00:00 AM","03/12/2022 05:00:00 PM","Sport - Youth","Bronx","Williamsbridge Oval: Soccer-01 ,Van Cortlandt Park: Stadium-Soccer-08"
"12","Celebration","08/21/2022 12:00:00 PM","08/21/2022 02:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"13","Stoplight Party - Queens","02/26/2022 09:30:00 AM","02/26/2022 10:30:00 AM","Special Event","Queens","Flushing Meadows Corona Park: Around the Unisphere"
"14","Celebration","03/27/2022 02:00:00 PM","03/27/2022 04:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Linden Terrace ,Fort Tryon Park: Billings Lawn ,Fort Tryon Park: Heather Garden"
"15","Soccer -Regulation","03/11/2022 08:00:00 AM","03/11/2022 04:00:00 PM","Sport - Youth","Brooklyn","Calvert Vaux Park: Soccer-03 ,Calvert Vaux Park: Soccer-04"
"16","Celebration","04/23/2022 12:00:00 PM","04/23/2022 02:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"17","Celebration","10/01/2022 12:00:00 PM","10/01/2022 05:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Linden Terrace ,Fort Tryon Park: Billings Lawn ,Fort Tryon Park: Heather Garden"
"18","Movies Under the Stars","05/21/2022 07:00:00 PM","05/21/2022 09:00:00 PM","Special Event","Manhattan","St Catherine's Park: Basketball-01 ,St Catherine's Park: Basketball-04"
"19","Picnic","08/27/2022 02:00:00 PM","08/27/2022 05:00:00 PM","Special Event","Brooklyn","Prospect Park: Picnic House North"
"20","Soccer - Non Regulation","02/15/2022 08:30:00 AM","02/15/2022 03:30:00 PM","Sport - Youth","Manhattan","Chelsea Park: Soccer-01"
"21","Baseball - Adults","02/15/2022 09:00:00 AM","02/15/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"22","freeskewl Gathering","05/15/2022 05:00:00 PM","05/15/2022 06:00:00 PM","Special Event","Brooklyn","Prospect Park: CONCERT GROVE PAVILION"
"23","Movies Under the Stars","08/20/2022 07:00:00 PM","08/20/2022 09:00:00 PM","Special Event","Manhattan","John Jay Park: Multi Purpose Area 01 ,John Jay Park: Basketball-02 ,John Jay Park: Basketball-02"
"24","Soccer -Regulation","02/27/2022 09:00:00 AM","02/27/2022 07:00:00 PM","Sport - Youth","Queens","Kissena Corridor West: Soccer-01"
"25","Celebration","05/20/2022 11:00:00 AM","05/20/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"26","Soccer -Regulation","03/13/2022 12:00:00 PM","03/13/2022 08:00:00 PM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01"
"27","Outdoor Learning - Brooklyn International High School","03/11/2022 09:00:00 AM","03/11/2022 03:00:00 PM","Special Event","Brooklyn","Commodore Barry Park: Multi Purpose Play Area-01"
"28","Outdoor Learning Application-PS 132-DOE","02/17/2022 08:30:00 AM","02/17/2022 02:00:00 PM","Special Event","Brooklyn","Cooper Park: Center Oval Lawn"
"29","Celebration","05/07/2022 04:00:00 PM","05/07/2022 06:00:00 PM","Special Event","Manhattan","Central Park: Dene Lawn"
"30","Celebration","05/20/2022 11:00:00 AM","05/20/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Belvedere Castle Terrace"
"31","Outdoor Learning Application-PS 132-DOE","02/15/2022 08:30:00 AM","02/15/2022 02:00:00 PM","Special Event","Brooklyn","Cooper Park: Center Oval Lawn"
"32","Wedding","05/07/2022 05:00:00 PM","05/07/2022 07:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"33","Celebration","03/25/2022 04:00:00 PM","03/25/2022 05:00:00 PM","Special Event","Queens","Hunter's Point South Park: Hunter's Point South Park"
